Sarah	F	1288	1880
Robert	M	2415	1880
Alice	F	1308	1881
Edward	M	2177	1881
Annie	F	1492	1882
Robert	M	2500	1882
Clara	F	1548	1883
Thomas	M	2316	1883
Annie	F	1739	1884
Robert	M	2468	1884
Annie	F	1703	1885
Thomas	M	2266	1885
Florence	F	1860	1886
Thomas	M	2337	1886
Ida	F	1929	1887
Edward	M	2125	1887
Bessie	F	2278	1888
Henry	M	2596	1888
Clara	F	2319	1889
Edward	M	2299	1889
Bertha	F	2388	1890
Harry	M	2345	1890
Bertha	F	2372	1891
Henry	M	2049	1891
Clara	F	2661	1892
Henry	M	2452	1892
Bertha	F	2623	1893
Harry	M	2245	1893
Marie	F	2649	1894
Harry	M	2189	1894
Emma	F	2952	1895
Edward	M	2203	1895
Emma	F	2872	1896
Henry	M	2183	1896
Emma	F	2698	1897
Henry	M	1994	1897
Lillian	F	3061	1898
Thomas	M	2161	1898
Lillian	F	2703	1899
Henry	M	1831	1899
Lillian	F	3414	1900
Henry	M	2606	1900
Lillian	F	2681	1901
Henry	M	1870	1901
Alice	F	3135	1902
Henry	M	2154	1902
Mildred	F	3088	1903
Thomas	M	1962	1903
Dorothy	F	3477	1904
Henry	M	2086	1904
Alice	F	3610	1905
Thomas	M	2135	1905
Florence	F	3691	1906
Thomas	M	2176	1906
Marie	F	3880	1907
Henry	M	2203	1907
Marie	F	4076	1908
Thomas	M	2301	1908
Alice	F	4170	1909
Thomas	M	2468	1909
Alice	F	4671	1910
Henry	M	2899	1910
Frances	F	4967	1911
Thomas	M	3292	1911
Marie	F	6642	1912
Thomas	M	6087	1912
Marie	F	7353	1913
Thomas	M	7096	1913
Marie	F	8829	1914
Walter	M	8962	1914
Evelyn	F	11595	1915
Thomas	M	11490	1915
Virginia	F	12487	1916
Thomas	M	11998	1916
Virginia	F	14261	1917
Thomas	M	12611	1917
Anna	F	15666	1918
Thomas	M	13910	1918
Anna	F	14498	1919
Thomas	M	13434	1919
Anna	F	14581	1920
Richard	M	15010	1920
Elizabeth	F	15800	1921
Richard	M	16376	1921
Frances	F	15053	1922
Frank	M	16014	1922
Frances	F	14879	1923
Donald	M	16435	1923
Frances	F	15183	1924
Donald	M	17929	1924
Elizabeth	F	13935	1925
Donald	M	19191	1925
Frances	F	13355	1926
Edward	M	19378	1926
Barbara	F	13161	1927
Edward	M	19113	1927
Shirley	F	14212	1928
Edward	M	18489	1928
Patricia	F	13625	1929
Edward	M	17226	1929
Ruth	F	14940	1930
Edward	M	17349	1930
Doris	F	13629	1931
Thomas	M	16846	1931
Doris	F	12909	1932
Thomas	M	16834	1932
Doris	F	12024	1933
Thomas	M	16500	1933
Nancy	F	13518	1934
Joseph	M	17101	1934
Helen	F	12781	1935
Joseph	M	17183	1935
Carol	F	14521	1936
David	M	17479	1936
Margaret	F	15143	1937
George	M	18430	1937
Joan	F	14302	1938
Ronald	M	20296	1938
Margaret	F	14952	1939
Ronald	M	19835	1939
Sandra	F	16150	1940
Ronald	M	20730	1940
Shirley	F	16953	1941
Donald	M	22633	1941
Carolyn	F	19979	1942
Donald	M	23951	1942
Betty	F	21596	1943
Michael	M	24743	1943
Betty	F	19756	1944
Ronald	M	25511	1944
Susan	F	19222	1945
Ronald	M	23663	1945
Judith	F	22308	1946
Ronald	M	31855	1946
Donna	F	23519	1947
Larry	M	34938	1947
Kathleen	F	23256	1948
Ronald	M	33518	1948
Sharon	F	25711	1949
Larry	M	31809	1949
Kathleen	F	25704	1950
Gary	M	33749	1950
Kathleen	F	26715	1951
Gary	M	38163	1951
Sandra	F	26101	1952
Gary	M	38756	1952
Pamela	F	25759	1953
Gary	M	36972	1953
Cynthia	F	27616	1954
Charles	M	37451	1954
Donna	F	27943	1955
Steven	M	37821	1955
Donna	F	29856	1956
Steven	M	38397	1956
Donna	F	28039	1957
Steven	M	36819	1957
Donna	F	26949	1958
Steven	M	32946	1958
Lisa	F	25691	1959
Steven	M	33572	1959
Deborah	F	25265	1960
Steven	M	33889	1960
