Alice	F	1414	1880
Thomas	M	2534	1880
Annie	F	1326	1881
Henry	M	2339	1881
Alice	F	1542	1882
Thomas	M	2610	1882
Ida	F	1634	1883
Henry	M	2383	1883
Clara	F	1852	1884
Thomas	M	2572	1884
Bertha	F	1860	1885
Henry	M	2406	1885
Bertha	F	2001	1886
Robert	M	2443	1886
Clara	F	1984	1887
Henry	M	2228	1887
Florence	F	2444	1888
Robert	M	2814	1888
Ethel	F	2463	1889
Harry	M	2559	1889
Minnie	F	2650	1890
Robert	M	2541	1890
Minnie	F	2428	1891
Robert	M	2240	1891
Ethel	F	3035	1892
Robert	M	2710	1892
Ethel	F	3119	1893
Robert	M	2563	1893
Florence	F	3233	1894
Robert	M	2497	1894
Ethel	F	3391	1895
Robert	M	2635	1895
Florence	F	3323	1896
Robert	M	2719	1896
Ethel	F	3182	1897
Robert	M	2701	1897
Ethel	F	3531	1898
Frank	M	2925	1898
Marie	F	3156	1899
Frank	M	2550	1899
Ethel	F	3896	1900
Frank	M	3477	1900
Florence	F	3131	1901
Frank	M	2402	1901
Marie	F	3424	1902
Frank	M	2756	1902
Florence	F	3468	1903
Frank	M	2644	1903
Florence	F	3572	1904
Frank	M	2799	1904
Mildred	F	3758	1905
Frank	M	2837	1905
Alice	F	4192	1906
Frank	M	2798	1906
Mildred	F	4277	1907
Frank	M	2943	1907
Mildred	F	4624	1908
Frank	M	3146	1908
Mildred	F	5054	1909
Frank	M	3244	1909
Mildred	F	5692	1910
Frank	M	3768	1910
Mildred	F	6271	1911
Frank	M	4314	1911
Elizabeth	F	8528	1912
Edward	M	7936	1912
Elizabeth	F	9505	1913
Edward	M	9474	1913
Elizabeth	F	11367	1914
Edward	M	12318	1914
Elizabeth	F	14103	1915
Edward	M	15889	1915
Elizabeth	F	14939	1916
Edward	M	17005	1916
Elizabeth	F	15131	1917
Edward	M	17502	1917
Frances	F	16131	1918
Edward	M	19489	1918
Elizabeth	F	15287	1919
Edward	M	18535	1919
Elizabeth	F	15910	1920
Edward	M	20095	1920
Betty	F	17638	1921
Edward	M	20818	1921
Mildred	F	16412	1922
Edward	M	20419	1922
Mildred	F	15990	1923
Edward	M	20597	1923
Mildred	F	15853	1924
