Minnie	F	1746	1880
George	M	5126	1880
Margaret	F	1658	1881
Charles	M	4636	1881
Minnie	F	2004	1882
Charles	M	5091	1882
Minnie	F	2035	1883
George	M	4736	1883
Minnie	F	2243	1884
Charles	M	4802	1884
Margaret	F	2204	1885
Charles	M	4599	1885
Minnie	F	2372	1886
Charles	M	4533	1886
Margaret	F	2419	1887
Charles	M	4031	1887
Margaret	F	2904	1888
Charles	M	4591	1888
Emma	F	2884	1889
Charles	M	4199	1889
Emma	F	2980	1890
Charles	M	4061	1890
Emma	F	2884	1891
Charles	M	3640	1891
Ruth	F	3290	1892
Charles	M	4319	1892
Elizabeth	F	3360	1893
Charles	M	3723	1893
Elizabeth	F	3425	1894
Charles	M	3788	1894
Elizabeth	F	3603	1895
Charles	M	3633	1895
Ruth	F	3905	1896
Charles	M	3639	1896
Ruth	F	3878	1897
Charles	M	3341	1897
Ruth	F	4249	1898
Charles	M	3557	1898
Ruth	F	3912	1899
Charles	M	3147	1899
Ruth	F	4765	1900
Charles	M	4098	1900
Ruth	F	3974	1901
Charles	M	3049	1901
Ruth	F	4384	1902
Charles	M	3361	1902
Ruth	F	4518	1903
Charles	M	3213	1903
Ruth	F	4900	1904
Robert	M	3414	1904
Ruth	F	5068	1905
Charles	M	3608	1905
Ruth	F	5140	1906
Robert	M	3635	1906
Ruth	F	5573	1907
Robert	M	4020	1907
Anna	F	5860	1908
Robert	M	4219	1908
Dorothy	F	6253	1909
Robert	M	4563	1909
Ruth	F	7212	1910
George	M	5441	1910
Ruth	F	8003	1911
Robert	M	6526	1911
Ruth	F	11280	1912
Joseph	M	12062	1912
Ruth	F	12609	1913
Joseph	M	14471	1913
Ruth	F	15839	1914
Joseph	M	18829	1914
Ruth	F	21878	1915
Joseph	M	23052	1915
Ruth	F	23190	1916
Joseph	M	23883	1916
Ruth	F	23568	1917
Joseph	M	24762	1917
Ruth	F	25534	1918
Charles	M	26922	1918
Ruth	F	24565	1919
Charles	M	25192	1919
Ruth	F	26102	1920
Charles	M	28308	1920
Ruth	F	25784	1921
Charles	M	29244	1921
Ruth	F	23630	1922
Charles	M	28842	1922
Betty	F	25991	1923
Charles	M	28962	1923
Margaret	F	26549	1924
Charles	M	30461	1924
Margaret	F	24463	1925
Charles	M	29582	1925
Margaret	F	23070	1926
Charles	M	29521	1926
Margaret	F	21964	1927
Charles	M	31936	1927
Margaret	F	20295	1928
Charles	M	31247	1928
Margaret	F	19206	1929
Charles	M	29931	1929
Margaret	F	18354	1930
Richard	M	32183	1930
Joan	F	19117	1931
Richard	M	31816	1931
Joan	F	21045	1932
Richard	M	31798	1932
Joan	F	19290	1933
Richard	M	31337	1933
Dorothy	F	21283	1934
Richard	M	33157	1934
Patricia	F	22877	1935
Richard	M	33945	1935
Patricia	F	23914	1936
Richard	M	33487	1936
Betty	F	25332	1937
Richard	M	32973	1937
Shirley	F	23767	1938
Richard	M	34380	1938
Shirley	F	20445	1939
Richard	M	35373	1939
Betty	F	22074	1940
Richard	M	37415	1940
Linda	F	23721	1941
Richard	M	39106	1941
Carol	F	30273	1942
Richard	M	43585	1942
Carol	F	31682	1943
Richard	M	46328	1943
Carol	F	30456	1944
Richard	M	45642	1944
Carol	F	30387	1945
Richard	M	46043	1945
Carol	F	34284	1946
Richard	M	58868	1946
Sandra	F	34775	1947
Richard	M	58521	1947
Susan	F	35985	1948
David	M	56623	1948
Susan	F	37706	1949
Michael	M	60046	1949
Susan	F	38017	1950
David	M	60727	1950
Barbara	F	40620	1951
David	M	64792	1951
Susan	F	41350	1952
David	M	71750	1952
Susan	F	44297	1953
David	M	76152	1953
Susan	F	47151	1954
David	M	79529	1954
Susan	F	47402	1955
John	M	80054	1955
Susan	F	46571	1956
John	M	80790	1956
Karen	F	40586	1957
John	M	78984	1957
Patricia	F	37940	1958
John	M	75991	1958
Donna	F	36465	1959
Robert	M	74502	1959
Donna	F	34132	1960
Robert	M	72360	1960
Karen	F	34697	1961
Robert	M	72901	1961
Linda	F	31468	1962
Robert	M	70196	1962
Linda	F	27719	1963
Robert	M	70012	1963
Patricia	F	26088	1964
Robert	M	70003	1964
